"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86"
"1",5.82077008873758,5.61209680770505,5.61163234588331,5.61078322474467,5.6529635765774,5.69613103256834,5.65318042931423,5.65184849987378,5.65249474944557,-2.75539747110043,-2.76949375607714,-2.80071130564847,-2.78317565544051,-2.76691718108409,-2.78099929657711,5.82709208778415,-2.76899070123238,-2.78288316307524,-2.79471557827741,-2.78053349416898,5.61503988420676,5.61535249046082,5.48924996312529,5.65759561165447,5.53042079414767,5.65809917794072,5.56980023546376,5.65637287173091,5.52908962686559,5.65679005988621,-2.79002388162161,5.61280879502354,5.65537150667973,5.69629315588773,5.52997423857563,-2.77841837606425,5.73952718101438,-2.92647733320297,5.6978267218764,5.69636943492725,-4.6357097433656,5.57114511348371,-2.91625752357761,-4.65395928602814,-3.89851916272949,-2.91657749105554,-4.61808831609792,-2.93665777751099,-4.63643281331247,5.69737667466724,-2.92643024384793,-2.90632097955599,-3.88301671472263,-3.88302693413364,5.73889203634417,-3.89808070508717,-3.91348990024919,-4.65373970076491,-3.86757169337724,-2.79786208970169,-2.72115462865516,5.69556196825782,-4.6722853977447,-3.89813835866751,-4.98424778243777,5.65586126218559,-3.91347669221937,-3.88258455451121,-4.63618768058981,-3.96713893411369,-3.92963368814302,-4.65455713026506,-3.4846066650128,-4.96646067532849,-5.00265250345393,-4.98495122810523,5.57185243987722,-3.98155343714523,-4.01029496844725,-2.73322185215987,5.61481345561451,-5.00246060020403,-2.74541978020747,-4.98474664715003,-5.02086879834216,-3.29335727093869
"2",5.61209680770505,5.90389931628327,5.65342950664655,5.65257405459412,5.6952428367337,5.73891118302365,5.69545592875249,5.69411294064376,5.69476235369038,-2.77053842565469,-2.78422060258047,-2.81452016591015,-2.79750056734249,-2.78171986699225,-2.79538865441595,5.87138785764985,-2.78373269247005,-2.79721740850083,-2.80870198492308,-2.79493634716871,5.65687619003292,5.65719806801886,5.52963445016322,5.69992181687944,5.57127926880976,5.70043118041433,5.61110953653452,5.69869230050553,5.56993133204007,5.69911420767654,-2.80414824294955,5.65461208590799,5.69767951964225,5.7390740345323,5.57082725330347,-2.79288343076265,5.78280764575026,-2.96220046740883,5.7406249769458,5.7391508546496,-4.66818340651653,5.6124717939728,-2.95209951804634,-4.68632436897737,-3.9300197866541,-2.95241646911262,-4.65066682232101,-2.97226188138894,-4.66890189554921,5.74016973051981,-2.96215361261504,-2.94227890632396,-3.91456675034887,-3.91457499481473,5.78216706222051,-3.92958295595702,-3.94494280721827,-4.68610677975221,-3.89917024850744,-2.81175555667458,-2.73658219235957,5.73833286318268,-4.7045426241204,-3.92963781726218,-5.02091530400447,5.6981590472001,-3.9449301051994,-3.91413443823754,-4.66865898581843,-3.99571025738413,-3.96103584922305,-4.68691949478994,-3.50914832066563,-5.00317148638726,-5.03927472777012,-5.0216157756474,5.61318546913866,-4.0100186508782,-4.03854860703317,-2.74815998348453,5.65664008621669,-5.03908358922501,-2.7598631779352,-5.02141170426317,-5.05744677708826,-3.33743807334592
"3",5.61163234588331,5.65342950664655,5.9029597571186,5.65210437617927,5.69476766837615,5.7384303846628,5.69498080275838,5.69363793889272,5.6942873164373,-2.7703681915555,-2.78405502297134,-2.81436490429757,-2.79733950539633,-2.78155343495858,-2.7952268681008,5.87089002379982,-2.78356694263455,-2.7970562416424,-2.80854472769454,-2.79477440917181,5.65640600051883,5.65672777425177,5.52918057901365,5.69944612095777,5.57082007011911,5.6999554193323,5.61064527064608,5.69821668068985,5.56947232184442,5.69863853482463,-2.80398943513788,5.65414226766391,5.69720402813819,5.73859322805577,5.57036811598414,-2.79272079363097,5.78232122396602,-2.96179903490414,5.74014397516374,5.73867004209545,-4.66781846226978,5.61200733273267,-2.95169674805289,-4.68596064599015,-3.92966577185764,-2.95201373305431,-4.65030069884823,-2.97186178829067,-4.66853700282484,5.73968878717651,-2.9617521774729,-2.94187483178594,-3.91421217945341,-3.91422044611045,5.78168070148377,-3.92922892285737,-3.94458932944748,-4.68574303432159,-3.89881513153913,-2.81159934408145,-2.73640879105515,5.73785216889525,-4.70418011426758,-3.92928381553535,-5.02050324589711,5.69768367093196,-3.94457662174811,-3.91377986902167,-4.66829406809767,-3.99538911641576,-3.96068294258871,-4.68655580238791,-3.50887260182456,-5.00275894081404,-5.03886317972564,-5.02120375100193,5.61272093654971,-4.00969870233978,-4.03823103611839,-2.74799208436394,5.6561700056385,-5.03867203257687,-2.75970084059459,-5.02099967387988,-5.05703572727883,-3.3369426595408
"4",5.61078322474467,5.65257405459412,5.65210437617927,5.9012491920981,5.69390609481403,5.7375622873252,5.69411905703268,5.6927764774094,5.69342567567482,-2.77008153587429,-2.78376788582666,-2.81407667288816,-2.79705190094164,-2.78126639383928,-2.79493935284095,5.87000204130184,-2.78327982610914,-2.79676865412809,-2.80825674832267,-2.7944869084742,5.65555009878387,5.6558718761931,5.52834378200275,5.69858370074318,5.56997693319815,5.69909292200132,5.60979605131193,5.6973545292495,5.5686293791645,5.69777631154251,-2.8037016167318,5.65328641738353,5.69634203090756,5.73772499408573,5.56952504441008,-2.79243336562274,5.78144640083464,-2.96104877828165,5.73927550155345,5.73780179065747,-4.66716129160459,5.61115791778597,-2.95095052815516,-4.68530074475717,-3.9290293122665,-2.95126741130677,-4.64964616476975,-2.97110749278582,-4.66787972335036,5.7388203821778,-2.96100193062077,-2.9411325482241,-3.91357860360414,-3.9135868859092,5.78080611130434,-3.92859253793554,-3.94395008502244,-4.68508316274244,-3.89818443844184,-2.81131123800651,-2.73603627408594,5.73698409527903,-4.70351746287154,-3.92864745131905,-5.0197600953529,5.6968211829358,-3.94393736584429,-3.91314639054621,-4.66763682341903,-3.99486664858476,-3.96004067379304,-4.68589580633241,-3.5082000325141,-5.00201878770087,-5.03811693022217,-5.02046048601788,5.61187140033375,-4.00917528000613,-4.03770571057185,-2.74761769568245,5.65531384532591,-5.03792581298535,-2.75932455992761,-5.02025644332769,-5.0562864057164,-3.33615830413401
"5",5.6529635765774,5.6952428367337,5.69476766837615,5.69390609481403,5.98706451325224,5.78123504264965,5.73727339637164,5.73591959740596,5.73657190996646,-2.78559442473785,-2.79885134003259,-2.82820813440658,-2.81171854449264,-2.79642850312163,-2.80967284385704,5.91523096009134,-2.79837898941386,-2.81144498441292,-2.82257237922305,-2.80923439260443,5.6982535764649,5.69858498847588,5.56955664989995,5.74179009374186,5.61167634544134,5.74230526629458,5.65195818593898,5.74055413229015,5.61031155049888,5.74098074939272,-2.81816030899034,5.69595560731072,5.73952991692278,5.78139836240319,5.61121884493146,-2.80724535411095,5.82563268479598,-2.99746657631372,5.78296669983169,5.7814757045239,-4.70030084219956,5.6533379250406,-2.98749532814677,-4.71832529864153,-3.9611800004915,-2.98780899313085,-4.68289675410146,-3.00739810735742,-4.70101442793051,5.78250624255437,-2.9974199793874,-2.97780122280124,-3.94578301965441,-3.94578927114448,5.82498698037073,-3.96074497617156,-3.97604888820478,-4.71810981139142,-3.93044165836531,-2.82553046836426,-2.7517517133146,5.78064725102808,-4.7364277505375,-3.96079701861855,-5.05716811399258,5.7399979458181,-3.9760366807214,-3.94535073673083,-4.70077386292713,-4.02409569230322,-3.99208423947444,-4.71891745609081,-3.5330649044929,-5.03947438140032,-5.07547520147088,-5.05786531919052,5.654057891891,-4.03829382342981,-4.06660392397927,-2.76282401346566,5.69800699459599,-5.07528490345074,-2.77401624178887,-5.05766183574418,-5.09359604312365,-3.38123650724653
"6",5.69613103256834,5.73891118302365,5.7384303846628,5.7375622873252,5.78123504264965,6.0759330653394,5.7814396865594,5.7800744170723,5.78072988832355,-2.80146743050482,-2.81428202724084,-2.84265826166277,-2.82671991589025,-2.81194020689457,-2.82474307121171,5.96152491544375,-2.81382585752153,-2.82645633416906,-2.83721221079886,-2.82431903273338,5.74195750330265,5.74229883000468,5.61173188984786,5.78600976540346,5.65435053429136,5.78653104107466,5.69510688004329,5.78476688828418,5.6529680506524,5.78519846143474,-2.83294749411943,5.73962427774499,5.78373065762088,5.82609698433083,5.65388727693889,-2.82239643390925,5.87085732192594,-3.03473952884543,5.82768360439616,5.82617488327567,-4.73422233095038,5.69650495765873,-3.02490009103125,-4.75212764864236,-3.99408877240688,-3.02521041499111,-4.71693328106707,-3.04453906295508,-4.73493089785807,5.8272176729001,-3.03469319303999,-3.01533454946287,-3.97874791261951,-3.97875207690918,5.87020610211937,-3.99365557105275,-4.00890346393699,-4.75191432635715,-3.96346172037517,-2.84007100327538,-2.76781425356521,5.82533540427557,-4.77011170907892,-3.99370466202759,-5.09546119454467,5.78418712342847,-4.00889178083736,-3.97831558418555,-4.73469274639698,-4.05402419841284,-4.02488110177203,-4.75271679068098,-3.55847392027803,-5.0778172552387,-5.11371622459396,-5.0961550890031,5.697231564131,-4.06810821056207,-4.09619076569017,-2.77836190580211,5.74170023597998,-5.11352677821839,-2.78902380356193,-5.0959521906597,-5.13178616278964,-3.42740936370095
"7",5.65318042931423,5.69545592875249,5.69498080275838,5.69411905703268,5.73727339637164,5.7814396865594,5.98748274979419,5.7361287680679,5.73678132598076,-2.78559031612211,-2.79886082091579,-2.82824779789875,-2.81174121538708,-2.79643547862024,-2.80969336930535,5.91542306522494,-2.79838796645344,-2.81146733516618,-2.82260611890984,-2.80925447783605,5.69846640094355,5.698797496122,5.56978138236048,5.74199904543977,5.61189740048032,5.74251417212196,5.65217584270478,5.74076279247681,5.61053279286666,5.74118939090474,-2.81818952012408,5.69616947608164,5.73973866295299,5.78160326197386,5.61143995715692,-2.80726339723795,5.82583352055371,-2.99771346639389,5.78317147859837,5.78168061998617,-4.70046604890143,5.65355537732995,-2.98773067811955,-4.71849906986465,-3.96133511354843,-2.98804463051769,-4.68305369105703,-3.0076565502212,-4.70117998396635,5.78271106353905,-2.99766684478157,-2.97802531674491,-3.94593119828927,-3.94593747942725,5.82518753015758,-3.96089990022637,-3.97621069784361,-4.71828346493622,-3.9305829305444,-2.82556729769007,-2.75191900604863,5.78085216563205,-4.73661010288158,-3.96095198568144,-5.057367135154,5.74020802272695,-3.97619849885916,-3.94549873517156,-4.7009392841511,-4.02411351473157,-3.99225329246302,-4.71909149324351,-3.53354561422527,-5.03966635238609,-5.07568152812216,-5.05806465026657,5.65427536392261,-4.03831642285898,-4.06663604842075,-2.763010243795,5.69822067881618,-5.0754911497836,-2.77422161483342,-5.05786108545584,-5.09380959213693,-3.38125957798481
"8",5.65184849987378,5.69411294064376,5.69363793889272,5.6927764774094,5.73591959740596,5.7800744170723,5.7361287680679,5.98477521031556,5.7354275276507,-2.78512673139798,-2.79839933882849,-2.82779094474406,-2.81128177412582,-2.79597362084494,-2.80923361782064,5.91402291120673,-2.79792641099568,-2.8110078536456,-2.82214841867117,-2.80879465652063,5.69712262727424,5.69745366269455,5.56847109502568,5.7406438853442,5.61057605682744,5.7411588773091,5.65084391876084,5.73940800842282,5.60921180346771,5.73983448626775,-2.81773112007662,5.69482600038139,5.73838414707113,5.78023782269374,5.61011873145921,-2.80680326052196,5.82445654062252,-2.99654646977662,5.7818056251699,5.78031515561597,-4.69943390107571,5.65222309331465,-2.98656783227286,-4.71746428202974,-3.96033466166273,-2.98688167940887,-4.68202409237627,-3.00648540179982,-4.70014773263449,5.78134533026082,-2.99649985880162,-2.97686651795065,-3.9449339761968,-3.94494028924229,5.82381087027993,-3.9598995298905,-3.97520712694171,-4.71724870050842,-3.92958894264706,-2.82511004709376,-2.7513506392435,5.77948699042934,-4.7355726464883,-3.95995165847159,-5.05620189922402,5.73885298347717,-3.97519491089545,-3.94450163371187,-4.69990706100336,-4.02327058512392,-3.99124632782723,-4.71805660699549,-3.53255277441167,-5.03850451255138,-5.07451278457854,-5.05689929331756,5.65294288715067,-4.03747296776939,-4.06579154555616,-2.76244282214005,5.69687666142806,-5.07432243799931,-2.7736551485659,-5.05669576743793,-5.09263736721065,-3.37999136826088
"9",5.65249474944557,5.69476235369038,5.6942873164373,5.69342567567482,5.73657190996646,5.78072988832355,5.73678132598076,5.7354275276507,5.98608003317927,-2.78533896565054,-2.79861634203797,-2.8280185518659,-2.81150340610017,-2.79618974127426,-2.80945449060091,5.91468811675191,-2.79814323626281,-2.81122937099066,-2.82237392666008,-2.80901537519889,5.69777226505298,5.69810320629765,5.56911133798006,5.74129678021896,5.61121949084802,5.7418118107023,5.6514904521832,5.74006063958267,5.6098551615213,5.74048715971364,-2.81795503869145,5.69547588840938,5.73903669949008,5.7808934517927,5.61076213813076,-2.80702326244236,5.82511542025666,-2.99712086317127,5.78246138008153,5.78097080083445,-4.69992729622663,5.65286969839801,-2.98713609951542,-4.71796212061996,-3.96081249259078,-2.98745010202964,-4.68251319702284,-3.00706592521437,-4.70064130737364,5.78200105129781,-2.99707423766464,-2.97742881141408,-3.94540775596437,-3.94541406986046,5.8244695199431,-3.96037725223833,-3.97568887008157,-4.71774648255315,-3.93005868165323,-2.82533664768025,-2.75166300810994,5.78014252106618,-4.73607494507597,-3.96042938400405,-5.05675883926877,5.73950622953551,-3.97567666271445,-3.94497529531178,-4.70040057064984,-4.02363939994417,-3.99173230829027,-4.71855458916893,-3.53313862558337,-5.03905733636541,-5.07507398574905,-5.05745640380041,5.65358957966108,-4.03784406838458,-4.06616720388987,-2.76276236948835,5.69752670385029,-5.07488359470413,-2.77398195214879,-5.05725283051331,-5.09320278581033,-3.38052820432266
"10",-2.75539747110043,-2.77053842565469,-2.7703681915555,-2.77008153587429,-2.78559442473785,-2.80146743050482,-2.78559031612211,-2.78512673139798,-2.78533896565054,2.64356180643808,2.43222302585106,2.51772263229859,2.4697477292096,2.42521258587628,2.46383594981533,-2.84955795887772,2.43080760570045,2.46887330746566,2.50150266965814,2.46258127511298,-2.77162240312453,-2.77165133722244,-2.72530147117495,-2.78721664257448,-2.74031330475474,-2.78740120222643,-2.75472388510278,-2.78669162387962,-2.73985678029679,-2.78682982648168,2.48861774943038,-2.77043017849314,-2.78632253764878,-2.80132464848456,-2.74015436152162,2.45677205270117,-2.81717448956485,1.13594114075925,-2.80188596820611,-2.80135172948405,1.70622452845217,-2.75517013487853,1.1280867256789,1.71822600369066,1.62226233205479,1.12840435899136,1.69463612174176,1.1437224325046,1.70671579085741,-2.80172098098586,1.13588357331028,1.12048092791019,1.6111788097696,1.61130051681522,-2.81716980295637,1.6219241979282,1.63296570632175,1.71802476908025,1.60018571427572,2.51002752324167,1.11583666553454,-2.80121492632202,1.73017057973172,1.62213721289991,1.931484809115,-2.78615250649092,1.63290640477,1.61096722402975,1.70649786956945,1.92266538659967,1.64443145153041,1.7185444667503,1.40512214747813,1.91986890895212,1.94352703691655,1.931996885687,-2.75546629201718,1.93829629849792,1.96946326572497,1.13254510558336,-2.77114815276446,1.94338619948306,1.14943452101397,1.9318627847159,1.95541526358467,1.60314658702296
