"","kingdom","phylum","class","order","family","genus","species"
"056d13e41e7768f4fea37f020f31223a","D_0__Bacteria","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__[Clostridium] innocuum group",NA
"8abd63757c69cd216e15efbde8ee27ce","D_0__Bacteria","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__[Clostridium] innocuum group",NA
"5209bf6f6396b6d6f8819f7c76a25e4d","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium",NA
"200844a495b5fd43dd3d43b0f04d6776","D_0__Bacteria","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Streptococcaceae","D_5__Streptococcus",NA
"a6a60ae8b26f2910269437265679da88","D_0__Bacteria","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Streptococcaceae","D_5__Streptococcus",NA
"41697c24be2dcd1cff1410ce05ef35c3","D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Peptostreptococcaceae","D_5__Intestinibacter",NA
"325d765229bdb44eb3fb71c9b36f4b6f","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium",NA
"7a319d4f05f2d57986e9742c389d2394","D_0__Bacteria","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__[Clostridium] innocuum group",NA
"27de9fcae0008fad3eac16305f489ce8","D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Peptostreptococcaceae","D_5__Intestinibacter",NA
"fa57fe47154edf3f21ad07b730003c4b","D_0__Bacteria","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__[Clostridium] innocuum group",NA
"7df9f3771bcb8b6da7ba7b1d0de6f602","D_0__Bacteria","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__[Clostridium] innocuum group",NA
"755b067a58fadc0bf2f437420a5ca3e8","D_0__Bacteria","D_1__Actinobacteria","D_2__Coriobacteriia","D_3__Coriobacteriales","D_4__Eggerthellaceae","D_5__Eggerthella",NA
